counts	size
971	1
796	2
849	3
702	4
785	5
839	6
814	7
807	8
750	9
744	10
718	11
678	12
629	13
603	14
633	15
576	16
490	17
519	18
468	19
479	20
463	21
427	22
387	23
382	24
361	25
371	26
351	27
320	28
277	29
285	30
265	31
263	32
248	33
210	34
186	35
187	36
194	37
180	38
168	39
175	40
138	41
128	42
139	43
161	44
118	45
95	46
100	47
102	48
89	49
84	50
84	51
66	52
63	53
64	54
64	55
76	56
68	57
45	58
41	59
51	60
40	61
40	62
37	63
46	64
35	65
39	66
43	67
43	68
26	69
42	70
34	71
18	72
11	73
15	74
29	75
22	76
32	77
18	78
19	79
16	80
26	81
18	82
21	83
12	84
16	85
21	86
12	87
17	88
12	89
10	90
11	91
15	92
9	93
9	94
9	95
7	96
5	97
8	98
3	99
9	100
5	101
8	102
6	103
7	104
5	105
6	106
4	107
3	108
3	109
2	110
2	111
5	112
5	113
3	114
3	115
2	116
5	117
6	118
7	119
4	120
2	121
1	123
5	124
4	125
4	126
2	127
4	128
5	129
6	130
5	131
1	132
7	133
3	134
1	136
3	139
1	140
3	141
2	142
1	143
1	144
3	146
1	149
4	150
1	151
2	152
1	154
1	155
1	157
1	160
1	161
1	162
1	164
2	165
1	166
3	167
1	168
1	169
1	171
1	174
2	179
1	181
1	188
2	192
1	195
1	196
2	199
